time_s,rr_bpm,confidence,rr_bpm_final
0.0,16.135593220338983,0.9275308107284375,
30.0,15.741935483870968,0.9301230780470567,15.706488062693639
60.0,15.241935483870968,0.9549594833304087,15.661290322580646
90.0,16.0,0.9482147253668779,15.792509568069983
120.0,16.135593220338983,0.9463876852389027,15.792509568069983
150.0,15.241935483870968,0.9527635353930691,15.74879372107545
180.0,15.868852459016393,0.9561613811787284,15.74879372107545
210.0,16.135593220338983,0.9590607093886816,16.046679633231452
240.0,16.135593220338983,0.9565594445771366,16.135593220338983
270.0,16.135593220338983,0.9694834917732778,16.30225988700565
300.0,16.635593220338983,0.9601153824177997,16.30225988700565
330.0,16.135593220338983,0.9534740727263302,16.30225988700565
360.0,16.135593220338983,0.9749566558900636,16.135593220338983
390.0,16.135593220338983,0.979080281524175,16.23074635741897
420.0,16.421052631578945,0.9728227006058623,16.277502640294482
450.0,16.275862068965516,0.977270674554227,16.49092558983666
480.0,16.775862068965516,0.9840959165652171,16.609195402298848
510.0,16.775862068965516,0.9814401143759605,16.56243911942334
540.0,16.135593220338983,0.9828224860700829,16.34901616988116
570.0,16.135593220338983,0.9803704440395737,16.182349503214493
600.0,16.275862068965516,0.9779146502883107,16.229105786090006
630.0,16.275862068965516,0.9790014562156947,16.18390804597701
660.0,16.0,0.9821261108079012,15.881571509327303
690.0,15.368852459016393,0.9854440399328526,15.789617486338798
720.0,16.0,0.9815710245890737,16.04823817599397
750.0,16.775862068965516,0.9827131016809701,16.350574712643677
780.0,16.275862068965516,0.9883703831290195,16.609195402298848
810.0,16.775862068965516,0.9891864997019603,16.442528735632184
840.0,16.275862068965516,0.9893171200855178,16.609195402298848
870.0,16.775862068965516,0.992678421245399,16.609195402298848
900.0,16.775862068965516,0.9967491076360129,16.775862068965516
930.0,16.775862068965516,0.9935025890454631,16.609195402298848
960.0,16.275862068965516,0.9889197958846151,16.775862068965516
990.0,17.275862068965516,0.9862881761567462,16.609195402298848
1020.0,16.275862068965516,0.97795828878736,16.824258923169992
1050.0,16.921052631578945,0.9829440039311296,16.539322444041137
1080.0,16.421052631578945,0.9936874942064813,16.804511278195488
1110.0,17.07142857142857,0.9958864900527437,16.804511278195488
1140.0,16.921052631578945,0.9948365929127378,16.709358141115498
1170.0,16.135593220338983,0.9942399145763929,16.444169306961147
1200.0,16.275862068965516,0.9962467961206931,16.444169306961147
1230.0,16.921052631578945,0.994187720414563,16.7059891107078
1260.0,16.921052631578945,0.9898457547075398,16.7059891107078
1290.0,16.275862068965516,0.9897349186724317,16.610835973627815
1320.0,16.635593220338983,0.9921190217835327,16.610835973627815
1350.0,16.921052631578945,0.995858765442325,16.876024807782166
1380.0,17.07142857142857,0.9947474844708901,16.75611442399101
1410.0,16.275862068965516,0.9918183942425607,16.80623973727422
1440.0,17.07142857142857,0.9935764186530873,16.85818778922227
1470.0,17.227272727272727,0.9962124746717398,17.123376623376622
1500.0,17.07142857142857,0.9968499526020707,17.123376623376622
1530.0,17.07142857142857,0.996194286572901,17.123376623376622
1560.0,17.227272727272727,0.9947632491885688,16.85818778922227
1590.0,16.275862068965516,0.992628886304103,14.024854455888937
1620.0,8.571428571428571,0.8576028959789134,11.191521122555605
1650.0,8.727272727272727,0.873007708192628,10.040954659375712
1680.0,,0.21318151995131818,12.824162679425838
